devicename,platform
HTC 10,ANDROID
Fire Phone,ANDROID
Color F1,ANDROID
iPhone 6,IOS
Vibe K5 Note,ANDROID
Galaxy Tab S2 9.7,ANDROID
HIT 3G,ANDROID
Xperia Z5 Premium Dual,ANDROID
Mi 5C,ANDROID
Xperia XA1 Ultra,ANDROID
A57,ANDROID
Kenny,ANDROID
Y15,ANDROID
Ultra,ANDROID
Q5,ANDROID
Jerry 2,ANDROID
Xperia E3,ANDROID
Elife E7,ANDROID
BV8000 Pro,ANDROID
Xperia Z5,ANDROID
K6 Power,ANDROID
Lead 7,ANDROID
Honor 5X,ANDROID
Galaxy S7 edge,ANDROID
BV5000,ANDROID
Galaxy R Style,ANDROID
Galaxy J7 Prime,ANDROID
MediaPad T3 7,ANDROID
Xperia X,ANDROID
Liquid Z205,ANDROID
Moto E4,ANDROID
MX,ANDROID
Moto C,ANDROID
G5,ANDROID
Mi Note LTE,ANDROID
ZenFone 3 Laser,ANDROID
Iconia Tab A3,ANDROID
AT300SE,ANDROID
M5,ANDROID
Boost,ANDROID
Z2,ANDROID
A71,ANDROID
Xperia Tipo,ANDROID
Galaxy S4 Active LTE,ANDROID
Galaxy Tab S2 VE 8.0 4G,ANDROID
MediaPad M3 Lite 8.0,ANDROID
Vivo X6S A,ANDROID
Galaxy E5,ANDROID
Blade V8 Lite,ANDROID
K107,ANDROID
One Touch Idol X+,ANDROID
Mate 10 Pro,ANDROID
Galaxy J5,ANDROID
Z2 Pro,ANDROID
Xperia Z5 Dual,ANDROID
Mi Max,ANDROID
K3 Note,ANDROID
Xperia M2 Aqua,ANDROID
ZenFone C,ANDROID
Desire 820 Dual Sim,ANDROID
S820,ANDROID
Infinity H3,ANDROID
Legend,ANDROID
Desire 630 Dual Sim,ANDROID
Desire 310,ANDROID
Galaxy Note 3 Neo,ANDROID
Mi 4c,ANDROID
F3 Plus,ANDROID
F3,ANDROID
Tab 7 Essential,ANDROID
Amazing A5S,ANDROID
Brigadier,ANDROID
Moto E 2nd Gen 4G,ANDROID
One M9,ANDROID
N3 Dual Sim,ANDROID
Vivo,ANDROID
M1 Note,ANDROID
ZenFone Zoom,ANDROID
Andromax A,ANDROID
V8 Plus,ANDROID
Visio,ANDROID
ZenFone 2 Laser,ANDROID
Moto E4 Plus,ANDROID
Priv,ANDROID
Redmi 4A,ANDROID
Moto G,ANDROID
Galaxy Grand Prime Value Edition,ANDROID
Galaxy Note 3 4G LTE,ANDROID
Pixel V2s Plus,ANDROID
Smart ultra 7,ANDROID
Galaxy Core Prime,ANDROID
Galaxy A7 (2018),ANDROID
Pop 4,ANDROID
Blade V7 Lite,ANDROID
Galaxy Tab A with S Pen,ANDROID
Le 2,ANDROID
Fonepad 8,ANDROID
Galaxy Tab S2,ANDROID
Galaxy A8 Duos,ANDROID
U Feel,ANDROID
Honor 5C,ANDROID
